"Kukatja","palytja","Death adder"
"Kukatja","kalyarrtu","Death adder"
"Kukatja","kantawarra-warra","Death adder"
"Kukatja","muwa","Death adder"
"Kukatja","ngalyawiltirr(pa)","Death adder"
"Kukatja","nguwa","Death adder"
"Kukatja","palytja","Death adder"
"Kukatja","pulturr(pa)","Death adder"
"Kukatja","putjurr(pa)","Death adder"
"Kukatja","walyarrawalya-walya","Death adder"
"Kukatja","kalyarrtu","Death adder"
"Kukatja","yungkarrpiri","Death adder"
"Kukatja","ngunpi","bilby"
"Kukatja","tunpi","bilby"
"Kukatja","zz_karntawarra-warra","Death adder"
"Kukatja","takarn(pa)","bilby"
"Kukatja","zz_nirnu","bilby"
"Kurtjar","karmonk","Sugar Glider"
"Kurtjar","karmonk","Sugar Glider"
"Kurtjar","karmonk","Sugar Glider"
"Kutthung","Goo-la ","koala"
"Kuuku-Ya'u","kutini","cassowary"
"Kuuku-Ya'u","pata","common death adder"
"La.T","goola","koala"
"La.T","gorla","koala"
"La.T","koola","koala"
"Linguistics","Goola","koala"
"Linguistics of the Koo-gun-ji Tribe","Kin-da-ja","cassowary"
"Logan River","marungpy","koala"
"Mabuiag","daga-sam","cassowary"
"Mabuiag","morau","cassowary"
"Mabuiag","samu-kazi","cassowary"
"Margany","dhaŋgu","bilby"
"Mary River and Bunya Bunya Country","kul’la","koala"
"Mbakwithi","laangga?a","Death adder"
"Mengerrdji","karyak","Sugar Glider"
"Mitchell River, Koogominny","","koala"
"Mt. Spencer","ko-o-lah","koala"
"Mudburra","yarningki","bilby"
"Mudburra","jalbawurru","bilby"
"Muruwari","thangku","bilby"
"Muruwari","thirtanj","koala"
"Muruwari","thirtanj","koala"
"Muruwari","kurl-kurl","common death adder"
"N.S. Wales, Bellinger River","toon gerre","koala"
"Ng'goi Mwoi","boorabee","koala"
"Ngadjan","gumbulgan","cassowary"
"Ngadjumaja","yarlun","common death adder"
"Ngandi","warpur7","Sugar Glider"
"Ngarigu","nguraga","koala"
"Ngarigu","dandial","koala"
"Ngarigu","dandiyal","koala"
"Ngarigu (Southern)","ngurraga","koala"
"Ngarinyin","ngadadngadad","Death adder"
"Ngarinyin","nyamudngari (nyindi)","koala"
"Ngarinyin","wulumbad ","koala"
"Ngarinyman","banji","Sugar Glider"
"Ngarinyman","bulguwung","Death Adder, Five-Minute Snake"
"Ngarinyman","bulurrng","Death Adder, Five-Minute Snake"
"Ngarinyman","burrul","Death Adder, Five-Minute Snake"
"Ngarinyman","dardalya","Death Adder, Five-Minute Snake"
"Ngarinyman","jabuwung","Sugar Glider"
"Ngarinyman","jurndagarl","Death Adder, Five-Minute Snake"
"Ngarinyman","bulyguwung","Death adder"
"Ngarla","kartukarli","Macrotis lagotis / greater bilby"
"Ngarluma","nyurna","Death adder"
"Ngarluma","nyurna","Death adder"
"Ngarluma","nyurna","common death adder"
"Ngiyambaa","pilpaa","bilby"
"Ngiyambaa","pilpi","bilby"
"Ngiyampaa","pilpi","bilby"
"Ngunawal","kurubun","koala"
"No. Walmatjarri [O'Grady]","calka2","common death adder"
"Northern Mangarla","yulu","common death adder"
"Numinbah Valley","burrabee","koala"
"Nunggubuyu","jawarnŋawarnŋal","Sugar Glider"
"Nyikina","yooloorriny","common death adder"
"Nyikina","yooloorriny ","common death adder"
"Nyikina","maiŋara","common death adder"
"Nyikina","maiŋara","common death adder"
"Nyiyabali, So. Nyangumarda (Ngulibardu -Klokeid)","cuntangu","common death adder"
"Nyungar","dhalkatj","bilby"
"Obtained from J.J.B. Narrandera, the Names of Places, &c., with Meanings","Coala","koala"
"Obtained from J.J.B. Narrandera, the Names of Places, &c., with Meanings","Coala","koala"
"Ogunyjan","ugngarrg, inh-","Death adder"
"Ogunyjan","ugngarrg, inh-","Death adder"
"Omeo","dandiyal","koala"
"Origin of Aboriginal Words","Coola","koala"
"Paakantyi","kurti","bilby"
"Paakantyi","kurti","bilby"
"Pakanh","minha-mangka-kopea","Sugar Glider"
"Pallanganmiddang","norroga","koala"
"Peak Downs District","wol-mul","koala"
"Pitjantjatjara","ninu (P)","bilby"
"Pitjantjatjara/Yankunytjatjara","matjanya","Death adder"
"Pitjantjatjara/Yankunytjatjara","ninu","Macrotis lagotis / greater bilby"
"Pitjantjatjara/Yankunytjatjara","tjalku","Macrotis lagotis / greater bilby"
"Pitjantjatjara/Yankunytjatjara","matjanya","Death adder"
"Pitjantjatjara/Yankunytjatjara","ninu","Macrotis lagotis / greater bilby"
"Pitjantjatjara/Yankunytjatjara","tjalku","Macrotis lagotis / greater bilby"
"Proto-Paman (Hale)","kutini","cassowary"
"Rembarrnga","berk","Death adder"
"Rembarrnga","berlh","Death adder"
"Ritharngu","wärpurr","Sugar Glider"
"Ritharngu","baṉbalŋu","Death adder"
"Southern Ngarigu","dandial","koala"
"Southern Ngarigu","nuraga","koala"
"Sydney","djubi","Sugar Glider"
"Tagalag","'kulan","koala"
"Tagalag","'kulan","koala"
"Thanggatti","yarri","koala"
"Thanggatti","guri-nga yarri-nga bunyun","koala"
"Thanggatti","yarri","koala"
"Thawa","kurubun","koala"
"Thaynakwith","la'angga","Death adder"
"The Canberra Language","kambawang","koala"
"The Canberra Language","kurubun","koala"
"The Lower Macleay River","yarri","koala"
"Tiwi","rijingini","Sugar Glider"
"Tiwi","rijinga","Sugar Glider"
"Turrbal","dumbripi","koala"
"Tyattyalla","budyanmum","koala"
"Umpila","kutini","cassowary"
"Umpila","pata","Death adder"
"Umpila (dialect from John Butcher)","pata","Death adder"
"Ungaringyin","langkuman","Sugar Glider"
"Ungaringyin","langkuman","Sugar Glider"
"Upper Clarence River","Banjorah","koala"
"Upper Clarence River","Banjorah","koala"
"Vocabulary of Aboriginal Dialect, Upper Clarence RIver, the Aboriginal Words Being Spelt Phonetically","Banjorah","koala"
"Vocabulary of Aboriginal Dialect, Upper Clarence RIver, the Aboriginal Words Being Spelt Phonetically","Banjorah","koala"
"Waalubal","burbi","koala"
"Wadjabangayi","ð̩iːd̩anj","koala"
"Wadjabangayi","dhidhany","koala"
"Wailwan","bilba","bilby"
"Wailwan","muunbirr","Death adder"
"Wakka Wakka","goolar","koala"
"Walmajarri","calkacalka","common death adder"
"Wambaya","wagalagalana ","Sugar Glider"
"Wardaman","warrama","Sugar Glider"
"Wargamay","gilŋgiɽa","cassowary"
"Warlmanpa","linikiri","Death adder"
"Warnman","mankarrpa","bilby"
"Warnman","mankarrpa, miturluju","bilby"
"Warnman","mankarrpa, miturluju","bilby"
"Warrnambool","kurang","koala"
"Warrnambool","payikyan mum","koala"
"Warrnambool","wirnkil","koala"
"Warumungu","nyinikirri","Death adder"
"Warumungu","warrikirti","bilby"
"Warumungu","marapun","koala"
"Warumungu","nyinikirri","Death adder"
"Warumungu","warrikirti","bilby"
"Warura","langkuman","Sugar Glider"
"Wathawurrung","karrborr","koala"
"Wathawurrung","ngaambulmum","koala"
"Western Bandjalang","duŋgihr (B), duŋgir (WU)","koala"
"Western Bandjalang","duŋgihr (B), duŋgir (WU)","koala"
"Western Bandjalang","duŋgihr (B), duŋgir (WU)","koala"
"Western Bandjalang","duŋgihr (B), duŋgir (WU)","koala"
"Wik-Mungkan","manyj","Death adder"
"Wiradhurri","guda","koala"
"Wiradhurri","barran-dang","koala"
"Wiradhurri","baran-dang","koala"
"Wiradhurri","barran-dang","koala"
"Wiradhurri","guwula","koala"
"Wiradhurri","gåwala","koala"
"Wiradhurri","wandhawang","bilby"
"Wiradhurri","dungul","koala"
"Wiradhurri","guda","koala"
"Wiradjuri","barrandang","koala"
"Wirangu","dyirdara","Death adder"
"Wirangu","irliri","Death adder"
"Wirangu","madhana","Death adder"
"Wirra' Athoorree'. Wirrai' Yarrai'. Wirrach' aree'. Wirra' jerree'. ","Goo' raa-baan","koala"
"Wirra' Athoorree'. Wirrai' Yarrai'. Wirrach' aree'. Wirra' jerree'. Continued","Bor' raan-dthang","koala"
"Woiwurrung","gurrborra","koala"
"Woiwurrung","korbile","koala"
"Wubuy","lhambanany","Death adder"
"Wunambal","gumunta","Sugar Glider"
"Wunambal","gumunta","Sugar Glider"
"Yagara","marungpy","koala"
"Yaggara","coorparoo","koala"
"Yan-nhaŋu","ṉarrgi'ṉarrgi","Sugar Glider"
"Yandruwandha","nharramuku","bilby"
"Yankunytjatjara","tjalku","bilby"
"Yawuru","maiŋara","common death adder"
"Yaygir","umbu:dyi","koala"
"Yaygirr","ngan.gula","Death adder"
"Yaygirr","umbuudyi","koala"
"Yaygirr","yagal","Death adder"
"Yidiny","bima","Death adder"
"Yidiny","gunyjilbay","Death adder"
"Yidiny","nyin.gal","Death adder"
"Yidiny","gindaja","cassowary"
"Yidiny","mundin","cassowary"
"Yindjibarndi","manyji","Pilbara Death Adder"
"Yir-Yoront","wo7; minh","Sugar Glider"
"Yirandali","widgella","koala"
"Yorta-Yorta","gurbur","koala"
"Yorta-Yorta","dhakurramutja","koala"
"Yotayota","gŭrbur","koala"
"Yugambeh","borrobi","koala"
"Yugambeh","munndulgumm","Death adder"
"Yugambeh","burubi: [dh] ","koala"
"Yugarabul","dumbripi","koala"
"Yuggarabul","mar-raphie, mur-rumphie","koala"
"Yurlbaridja","ngalyawirltirrpa","common death adder"
"Yuwaalaraay","bilba","bilby"
"Yuwaalaraay","dhuluun.gayaa","bilby"
"Yuwaalaraay","guba","koala"
"Yuwaaliyaay","guda","koala"
"Yuwaaliyaay","guda","koala"
"Yuwaaliyaay","bilba","bilby"
"Yuwaaliyaay","dhuluun.gayaa","bilby"
